text,keywords
"老庄 所谓 心 、 性是 两个 绝对 不同 的 概念 . 其他 事物 从于 性 , 而 人 从 于 心 . 人之善 与 恶 在于 心 之用 . 圣人 、 至人 代表 着 老庄 所谓 善 , 圣人 、 至人非 由 其 本性 成就 , 而由心 之 修养 工夫 成就 , 所以 道德 之 根源 在于 心 . 人 之 违背 本性 与 道 , 代表 着 老庄 所谓 恶 , 人 违背 本性 与 道 亦 由 人 之心 所起 , 所以 恶 亦 源于 心 . 性 源于 道 , 性 与 道 是 相通 的 . 心 之用 合 于 本性 、 合于 道 即 为 善 , 违背 本性 、 违背 道 即 为 恶 , 所以 性 与 道 是 老庄 之 善恶 标准 . 心合于 性 与 道 , 是 老庄 修养 工夫 之 目标 .",善_恶_性_心_道
"经济法 是 对 经济 社会化 的 一种 法律 回应 , 计划经济 和 市场 经济体制 下 都 可能 存在 经济法 . 经济法 干预 的 经济 , 应当 是 一国 的 经济体 而 不仅仅 是 市场 . 就 经济法 与 政府 的 关系 而言 , 政府 是 主体 , 经济法 是 手段 .",市场_政府_经济法
园林 建设 过程 中 ， 应 注重 其 建设 的 发展 因素 ， 这一 因素 对 园林 建设 非常 重要 。 现代化 技术 就是 以 发展 的 姿态 来 实现 园林 建设 的 不断创新 发展 ， 促进 园林 建设 的 科学化 方向 发展 。 为此 ， 本文 从 园林 建设 发展 的 视域 下来 探讨 园林 建设 中 现代化 建设 的 重要性 ， 以此 来 加强 对 园林 建设 的 理论性 知识 。,发展_园林_现代化_建设_重要性
"  冠心病 是 心血管 系统 常见病 、 多发病 , 严重威胁 人类 生命 健康 . 一些 学者 结合 冠状动脉 造影 将 其 归属于 中医学 "" 胸痹 "" 、 "" 胸痛 "" 、 "" 真 心痛 "" 、 "" 厥 心痛 "" 等 范畴 , 应用 活血化瘀 疗法 疗效 确切 , 成为 冠心病 综合 治疗 有效 方法 之一 . 近年来 , 国内 学者 在 继承 传统 中医药 精髓 的 基础 上 , 运用 现代 科学研究 手段 和 方法 , 在 活血化瘀 药 的 临床 与 基础 研究 取得 较大 进展 . 现 综述 如下 .",冠心病_中医药_活血化瘀
"父权制 是 女性主义 研究 中 的 一个 核心 概念 , 它 包含 有 多种不同 的 意义 . 这种 不同 , 一方面 体现 了 不同 性别 、 不同 国 别的 传播 主体 与 传播 对象 对 意义 阐释 与 理解 的 差异性 , 另一方面 也 在 一定 程度 上 阻碍 了 女性主义 研究成果 的 传播 过程 和 实践 效应 . 因此 , 不论 著书立说 还是 课堂教学 , 传播 主体 运用 语言文字 符号 , 通过 "" 提示 "" 的 策略 手段 , 不断扩大 传播 主体 与 传播 对象 之间 的 交流 空间 , 对 女性主义 理论 的 传播 具有 重要 意义 .",符号_意义_父权制_传播
"苏格拉底 之死 是 西方哲学 的 最高 事件 . 本文 从 政治 哲学 的 视角 重新 思考 苏格拉底 之死 问题 , 旨在 重新 反思 哲学 与 政治 、 哲人 与 城邦 之间 的 关联 . 苏格拉底 之死 的 原因 在于 , 作为 公民 的 苏格拉底 与 作为 哲人 的 苏格拉底 两种 身份 之间 存在 巨大 冲突 , 但 苏格拉底 却 没有 能 化解 二者之间 的 冲突 , 以致 在 申辩 中将 哲学 置于 城邦 的 对立面 . 要 化解 二者 冲突 , 政治 哲人 既 要 具有 明智 审慎 的 哲人 品性 , 又 要 履行 立法 和 教化 的 政治 职责 .",苏格拉底_哲人_城邦
"机械化 在 图书馆 自动化 发展 中起 着 重要 的 基础 作用 . 缺少 机械化 的 图书馆 要 实现 自动化 是 无法 实现 的 , 是 不 完全 的 自动化 .",图书馆_自动化_机械化
"从 目前 看 , 现代 信息网络 技术 在 图书馆 的 广泛应用 , 并未 明显 提升 图书馆 的 生存 质量 , 图书馆 事业 的 发展 仍然 举步 惟艰 , 其 根本原因 是 图书馆 管理 意识 淡薄 , 管理 观念 陈旧 , 管理 创新 不足 , 管理机制 乏力 , 管理水平 低下 , 特别 是 管理 中重 微观 管理 、 细节 管理 , 轻 宏观管理 、 战略 管理 , 严重 缺乏 对 图书馆 宏观管理 战略 的 研究 与 实践 . 要 想 改变 当前 这种 状况 , 促使 图书馆 事业 健康 、 持续 发展 , 必须 加强 对 图书馆 人 本 管理 、 激励 管理 、 服务 管理 、 质量 管理 、 集成 管理 等 五大 管理 战略 的 研究 与 实践 .",图书馆_管理_战略
营业税 是 民国时期 从 西方 引进 的 一种 现代 税收制度 ， 随 国家 政治 与 社会 经济 形势 的 变化 而 不断 调整 。 作为 税收制度 的 核心 要素 ， 民国时期 营业税 税率 经历 了 从 北洋政府 时期 的 定额 税率 向 南京政府 时期 的 比例 税率 的 转变 。 在 南京 国民政府 的 分税制 体制 下 ， 地方 营业税 税率 设计 存在 差别 比例 税率 和 单一 比例 税率 两种 模式 。 抗战 和 内战 期间 ， 国民政府 逐步 统一 及 大幅提高 营业税 税率 以 增加 财政收入 。 营业税 纳税人 实际 税负 的 增加 是 税率 因素 与非 税率 因素 共同 作用 的 结果 。 民国时期 营业税 在 成为 政府 重要 收入 来源 的 同时 ， 也 给 工商业 经济 和 普通 民众 带来 沉重 的 税收 负担 。,民国时期_营业税_税率_税负
"少数民族 城市化 是 依据 城市化 主体 的 民族 成分 而 提出 的 一个 概念 , 是 指 少数民族 从 封闭 、 贫困 、 落后 的 乡村 社会 向 开放 、 富裕 、 文明 的 现代 城市 社会 转化 的 过程 ; 吉林省 少数民族 城市化 水平 的 高低 对 全省 城市化 水平 的 判断 和 城市化 进程 的 影响 显而易见 ; 分析 吉林省 少数民族 城市化 的 水平 及其 存在 的 问题 有助于 准确 评估 全省 城市化 的 水平 ; 少数民族 城市化 进程 的 加快 , 对于 促进 全省 经济 发展 、 社会 稳定 和 民族 繁荣 具有 现实意义 .",吉林省_少数民族_城市化
"在 信息技术 时代 、 当今 竞争 激烈 的 社会 , 对 高校教师 实施 心理 关怀 , 有利于 教师 身心健康 , 促进 师生 发展 ; 有利于 增强 管理 效能 , 实现 教育 目标 ; 有利于 融洽 人际关系 , 构建 和谐 校园 . 高校 应 讲究 教师 心理 关怀 的 策略 : 改善 心智 模式 , 施加 柔性 影响 ; 强化 角色 意识 , 促进 人格 完善 ; 满足 心理 需求 , 注重 情感 激励 ; 抒解 心理压力 , 消除 职业倦怠 .",高校_教师_心理_关怀
"重庆市 的 镁合金 产业 在 短短的 3 年 时间 内 , 在 国家 和 重庆市 有关 科技 计划 项目 的 支持 下 , 经历 了 从无到有 、 由小到大 的 发展 过程 . 在 镁合金 强化 、 塑性变形 和 表面 处理 等 研究 方向 取得 了 多项 理论 成果 与 专利技术 , 镁合金 产业 也 已 初具规模 , 形成 了 从 镁 金属 冶炼 、 镁合金 加工 、 镁 产品 应用 到 废 镁 回收 的 完整 产业链 , 镁 舍金 材料 已 实际 应用 在 摩托车 、 微型车 、 自行车 、 手动 工具 等 产品 上 . 重庆 已 发展 成为 我国 镁合金 研发 与 产业化 的 重要 基地 之一 .",镁合金_研究_产业化
"本文 对 中国 茶叶 出口贸易 现状 与 发展 思路 进行 的 研究 表明 , 影响 中国 茶叶 出口贸易 的 主要 因素 为 : 茶叶 出口 经营 管理体制 滞后 , 出口 经营 主体 素质 不高 ; 出口 茶叶 产品 结构 不合理 , 出口 茶叶 均 价低 ; 茶叶 生产 、 出口 规模 小 , 缺少 世界 知名品牌 ; 出口 产品 的 质量 与 安全 问题 等 , 并 提出 了 相关 对策 .",茶叶_出口_问题_对策
"深化 对 社会主义 本质属性 的 认识 , 是 建设 中国 特色 社会主义 首要 的 基本 理论 问题 . 作为 社会主义 的 本质 , 共同富裕 具有 很强 的 针对性 , 既 要 允许 和 鼓励 一部分 人 先富起来 , 又 要 避免 差距 过大 . 中国 特色 社会主义 还 应该 是 和谐 的 社会主义 . 这 进一步 把 公平正义 提高 到 社会主义 本质 的 高度 上来 . 共同富裕 、 社会 和谐 、 公平正义 既 是 社会主义 的 三个 基本 属性 , 也 是 我国 社会主义 建设 的 目标 , 是 摆在 我们 面前 的 重大 任务 和 现实 课题 .",社会主义_本质
"  近来 , 接连 听到 记者 在 采访 中 人身 被 打 , 采访 器材 被 毁坏 的 事件 . 我们 在 对此 感到痛心 的 同时 , 不断 思考 一个 十分 现实 的 问题 : 记者 在 舆论监督 中 的 人身权 如何 保护 ?",舆论监督_人身权_事件_器材_毁坏_保护
"  《 灵枢 · 厥 病篇 第二十四 》 中 阐述 了 脏腑 皆 有 心痛 , 并且 提出 了 6 种 脏腑 心痛 的 不同 主症 和 5 种 脏腑 心痛 治疗 取穴 . 此 论述 对于 今天 的 临床 是否 有 指导意义 , 值得 探究 [ 1 ] . 笔者 将 《 黄帝内经 》 的 理论 在 临床 上 进行 了 印证 , 并 以此 治 疔 原则 对 不同 的 病人 进行 了 治疗 , 颇 有所 得 [ 2 - 3 ] .",黄帝内经_脏腑_心痛_治疗
"20 世纪 俄罗斯 经历 了 两种 不同 的 过渡 , 其间 有 一脉相承 的 教训 : 过渡时期 将 是 长期 复杂 又 曲折 的 ; 市场 是 向 发达 的 市场 体制 过渡 的 途径 ; 俄罗斯 根深蒂固 的 行政命令 作风 来源于 它 的 政治体制 ; 改革 的 最大 危险 是 "" 制度 真空 "" . 对此 我们 应该 加以 借鉴 .",俄罗斯_改革_教训
"咳嗽 虽非 一病 , 但 每多间 夹于 肺系 疾病 中 出现 , 亦 有 以 咳嗽 为 主要 表现 的 患者 , 中医 对 咳嗽 的 认识 和 治疗 经验 颇 多 , 临床 中 具有 明显 优势 . 孙增涛 教授 从事 中西医 结合 防治 呼吸系统 疾病 的 临床 及 科研工作 二十余年 , 熟谙 传统 中医理论 , 继承 名 老中医 学术思想 并 加以 创新 发展 , 擅长 治疗 慢性 咳嗽 、 支气管 哮喘 、 慢性 阻塞性 肺 疾病 、 肺 间质 纤维化 、 肺部 感染 等 疾病 , 临证 经验丰富 , 尤其 对 咳嗽 的 辨治 用药 方面 颇 有 心得 . 笔者 将 从 以下 几 方面 论述 其 治疗 咳嗽 用药 经验 .",咳嗽_孙增涛_经验
"  近几年来 , 我们 对 河蟹 蜕壳 前后 的 管理 与 最后 的 收成 效益 关系 进行 了 观察 研究 , 取得 了 一定 的 经验 . 现 小结 如下 :",河蟹_蜕壳_效益_经验_管理
"基督教 和 儒教 对人 是否 能成 圣均 给予 肯定 的 答案 . 但耶儒 对 上帝 / 天 与 人 的 界定 以及 二者 关系 的 看法 差异 巨大 : 基督教 全善 之 上帝 和 有罪 之人 是 分离 的 关系 , 儒教 至善 天道 和 本 善人 性是 合一 的 关系 . 所以 在 成圣论 上 也 有 很大 的 不同 , 这 突出表现 在 成圣 可能性 的 根据 、 圣人 的 标准 以及 成圣 的 努力 方向 三个 方面 .",基督教_儒教_成圣论
"战后 , 日本 通过 《 日本国 宪法 》 确立 了 资产阶级 民主 制度 的 三权分立 之 原则 和 形式 , 但 由于 世界 范围 内 的 趋势 、 日本 政体 的 问题 和 自民党 的 "" 一党独大 "" 等 原因 , 遂 造成 三权 失衡 即 行政权 急剧 膨胀 和 立法权 与 司法权 遭到 严重 削弱 诸 问题 .",日本_三权分立_膨胀_削弱
"古代 书院 非常重视 生徒 的 诚信教育 . 书院 教育家 认为 "" 诚 "" 既 是 "" 天之道 "" , 又 是 "" 人事 之 本然 "" , 故 教育 生徒 要 保持 人 的 "" 诚 "" 之 本质 , 进而 坚守 "" 言行相顾 "" 之 "" 信 "" , 担负 于 他人 、 社会 之 责任 .",书院_诚_信_责任
"通过 对 “ 德不形 ” 的 探讨 , 庄子 试图 突破 儒道 传统 中 “ 形于 外 ” 的 政治 伦理 之 “ 德 ” 与 “ 形于 内 ” 的 仁义 圣智 之 “ 德 ” , 而 将 之 诠 定为 涵蕴 着 虚通 之 天道 的 心灵 . 在 “ 德一命 ” 关系 的 传统 理论 构架 中 , 庄子 以 “ 命 ” 为 生存 境域 的 不断 绽开 与 流衍 , 并 将 “ 德 ” 阐释 为 心灵 对 命运 之 无可奈何 的 随顺 与 安 和 , 由此 而 重新 勘定 了 心灵 自由 的 界域 与 精神 逍遥 的 家园 . 以 心灵 与 生命 为 核心 关怀 , 庄子 之 “ 德 ” 体现 出 “ 真 ” 的 价值 以及 “ 和 ” 的 情态 , 不仅 蕴含着 “ 心 ” 与 “ 道 ” 相融 契 的 心灵 境界 , 也 指涉 着 一种 自由 而 逍遥 的 生存 方式 .",庄子_德_道_命_心
"介绍 了 油气田 钻井 废弃物 的 处理 原则 和 工艺 , 对 废弃 泥浆 、 岩屑 注入 地层 技术 和 钻屑 热 解析 进行 了 详细分析 .",钻井_废弃物_处理
"本文 对 私营企业 贷款 难 的 问题 进行 了 全面 的 剖析 , 在 此基础 上 , 本文 提出 了 由 私营企业 、 银行 、 政府 三方 共同努力 、 互相配合 地 解决 私营企业 贷款 难 问题 的 系统 方案 .",私营企业_银行_政府_贷款
"  几位 朋友 一起 聊起 时政 , 有人 一声 叹息 : 现在 批评 是 越来越少 了 , 仅 有 的 一点 也 变味 了 , 越来越 趋于 甜蜜 化 了 . 至于 自我批评 , 几乎 要 "" 绝版 "" 了 , 我们 的 后代 , 怕 只能 从 古籍 里 见到 这一 字眼 了 .",自我批评_后代_古籍
"  公藤系 卫茅科 雷公藤 属 植物 , 根 、 茎 、 花均 有 毒性 , 药用 部分 为 去 二层 皮 的 根 木质部 , 具有 活血化瘀 、 清热解毒 、 消肿 散结 、 杀虫 止血 等 功效 , 被 广泛应用 于类 风湿性关节炎 、 肾小球 肾炎 、 红斑狼疮 及 各种 自身 免疫性 疾病 和 皮肤病 等 的 治疗 . 对 雷公藤 的 药理 研究 近年来 有 很大 进展 . 现 综述 如下 .",雷公藤_药理_进展
"哈萨克 神话 里 有关 神牛 驮 载 大地 、 光明 与 黑暗 斗争 等 内容 , 以及 某些 神怪 精灵 观念 本 来自 源于 波斯 . 波斯 神话 在 哈萨克 民间 的 影响 是 显而易见 的 . 这种 影响 甚至 可以 在 哈萨克 的 民俗 生活 里 见到 . 波斯 神话 在 哈萨克 民间 能 有 如此 广泛 、 长久 的 影响 , 自有 其 深刻 的 原因 . 然而 , 其中 一个 不容忽视 的 原因 便是 , 哈萨克 历史 上 的 一些 宗教信仰 与 波斯 有关 .",哈萨克_神话_波斯
"我国 城镇化 规模 不断扩大 , 城市 环境 设计 成为 人们 越来越 关注 的 问题 . 城市 景观设计 的 目的 在于 营造 良好 的 城市 环境 , 满足 人们 对 美化环境 的 愿望 , 同时 , 实现 城市 生态 的 保护 和 建设 . 但 我国 地域 广阔 , 地理 文化 风俗 复杂多变 , 对 城市 景观 的 要求 不 相同 . 本文 就 地域 文化 与 城市 景观设计 问题 进行 探讨 .",城市_景观_地域_文化
"要 说明 语言 和 思维 的 关系 及其 相关 问题 , 跟 语言 有关 的 应 区分 语言 、 言语 、 话语 , 跟 思维 有关 的 应 区分 逻辑 、 思维 、 思想 . 这 六个 术语 或 概念 表达 了 六个 既有 区别 也 有 联系 的 客观存在 的 事实 : 言语 是 用 语言 来 进行 交际 的 行为 活动 , 语言 是 言语 交际 的 工具 , 话语 是 言语 的 产物 , 思维 是 在 表象 或 概念 的 基础 上 进行 的 认识 客观 世界 的 行为 活动 , 逻辑 是 思维 的 规律 或 方法 , 思想 是 思维 的 产物 . 思维 有 形象思维 和 抽象思维 , 形象思维 不 依赖 语言 , 抽象思维 离不开 语言 . 没 学会 语言 就 不 可能 有 言语 ; 没有 言语 , 已有 的 族 语 也 不能 发挥作用 , 更 不 可能 有 语语 ; 形象思维 和 抽象思维 都 可 产生 思想 , 要 把 思想 表达出来 , 就要 靠 言语 . 具体 话语 的 内容 是 具体 思想 , 表达 该 内容 的 形式 是 语言 ( 族语 的 变体 ) . 文章 还 探讨 了 "" 内部言语 "" 、 儿童 的 语言 和 思维 、 聋哑人 的 语言 和 思维 等 问题 .",语言_言语_话语_逻辑_思维_思想
"实现 国防 现代化 是 我国 现代化 建设 的 重要 战略 任务 , 是 维护 国家 安全 统一 和 全面 建设 小康社会 的 重要 保障 . 坚持 国防建设 与 经济 建设 协调 发展 的 方针 , 实施 寓军 于民 的 战略 , 加强 全民 国防教育 , 是 建设 符合 我国 国情 的 现代化 国防 的 题 中 应有 之义 .",国防_现代化_建设
"本文 首先 从 精神 方面 来 透视 中国 传统 包装 所 传达 的 文脉 信息 : 中 和 之 美 与 "" 和而不同 "" ; 以人为本 , 注重 细节 的 美 ; 传统 对 品质 的 追求 ; 自然 和谐 美 、 整体 意境 的 重视 … … 为了 承载 着 文明 的 历史 长廊 不至于 断送 在 我们 这个 时代 , 我们 首先 要 做 的 是 清理 文脉 信息 , 并 在精神上 真正 的 继承 中国 包装 文脉 .",传统_包装_精神_文脉
"以 皮肤 出汗 异常 过多为 特征 的 多汗 是 一种 较 常见 的 皮肤病 . 临床 上 可 分为 局限性 多汗 和泛 发性 多汗 两型 . 其 病因 多样 而 复杂 , 大致 可 分为 器质性 疾病 和 功能性 失调 两大类 . 本文 对 多汗 的 病因 作 了 较为 详细 的 分析 , 介绍 了 治疗 本病 的 内服 、 外用 、 外科 及 理疗 等 各种 较 新 的 方法 .",多汗_病因_治疗
"实时 微分 控制 是 进行 航天器 轨道控制 的 主要 方法 . 本文 在 费景高 所 提出 的 算法 基础 上 , 提出 了 一种 有效 的 改进 算法 , 扩大 了 算法 的 适用范围 . 文章 对 算法 的 稳定性 进行 了 研究 , 并 给出 了 此 算法 在 弹道导弹 显式 制导 中 的 应用 实例 .",轨道控制_算法_制导
"体育 价值 在于 满足 个体 和 社会 需要 . 新 的 时代 会 产生 新 的 价值 取向 , 赋予 体育 价值 新 的 内涵 . 新世纪 体育 价值 的 基本 内涵 将 是 追求 个人 健康 幸福 , 满足 情感 和 个性 完善 需求 , 培养 现代 社会 性格 和 现代 意识 , 适应 和 推动 社会 经济 发展 .",新世纪_体育_价值
"简要 介绍 了 在 西 石门 铁矿 竖井 延深 工程 中即 安全可靠 , 又 少 影响 生产 的 一种 反掘 施工 方案 , 供 类似 矿山 竖井 延深 工程施工 时 借鉴 .",竖井_延深_反掘
"法庭 席位 是 法庭 布置 的 重要 组成部分 , 具有 丰富 的 符号学 意义 . 域外 国家 ( 地区 ) 刑事法庭 席位 的 设置 具有 许多 共同 做法 . 科学 设置 我国 刑事法庭 席位 特别 是 被害人 的 席位 , 使 之 既 能 满足 作证 的 技术性 要求 , 又 能 体现 当事人 的 诉讼 主体 地位 , 这 不仅 要 借鉴 域外 的 先进 做法 , 而且 要 符合 我国 刑事 司法 传统 .",刑事法庭_被害人_席位_设置
"随着 农垦 经济体制 改革 的 不断 深化 和 发展 , 八五 三 农场 实行 "" 五 坚持 "" , 即 坚持 党政工 齐抓共管 、 坚持 农机 田间 作业 标准化 管理 、 坚持 农机具 技术 状态 三 制度 二 措施 、 坚持 "" 五优 "" 达标 活动 、 坚持 田间 作业 "" 五 统一 "" ; "" 四 狠抓 "" 即 狠抓 农机 全员 培训 、 狠抓 农机 安全 监理 、 狠抓 水田 机械化 、 狠抓 新 技术 推广应用 等 . 由于 农机 标准化 管理 措施 得当 , 取得 了 较 好 成果 .",农机_管理_标准化
"旱灾 是 影响 我国 特别 是 北方地区 的 严重 自然灾害 之一 . 新 中国 成立 以来 , 我国 政府 带领 广大 人民 群众 兴修 了 大批 水利工程 , 坚持不懈 地 开展 抗旱 斗争 , 取得 了 卓有成效 的 成绩 . 但是 随着 我国 人口 增加 , 经济 发展 和 自然 条件 变化 , 我国 干旱 缺水 的 形势 日益 严峻 , 旱灾 发生 的 频率 、 范围 和 影响 的 领域 不断扩大 , 同时 , 长期 抗旱 工作 中 存在 的 一些 体制 、 制度性 障碍 也 显露出来 , 抗旱 工作 面临 前所未有 的 考验 . 依法 抗旱 , 提高 抗旱 工作 水平 已 成为 新 时期 抗旱 工作 的 基本 方略 , 尽快 通过 抗旱 立法 来 加强 抗旱 工作 , 是 当前 一项 重要 任务 .",旱灾_抗旱_立法_中国
"概述 了 桥梁 结构 检测 与 评估 技术 的 研究 和 应用 现状 , 分析 了 目前 存在 的 主要 问题 , 并 对 其 将来 研究 和 发展 的 主要 方面 进行 了 探索 .",桥梁_检测_评估
"台风 杜鹃 是 继 7908 号 台风 后 正面 袭击 珠江三角洲 最强 的 台风 , 对 其 观测 事实 进行 分析 发现 , 台风 杜鹃 的 路径 和 强度 及其 造成 的 天气 分布 等 具有 明显 特点 , 这些 特点 与 大气 环流 演变 、 影响 台风 的 天气 系统 、 相关 物理量 分布 、 "" 杜鹃 "" 的 结构 及 结构 变化 等 密切相关 .",台风_强度_路径
"建国初期 , 随着 各项 社会 运动 的 开展 和 社会主义 改造 与 社会主义 建设 的 进行 , 中国共产党 的 宗教政策 有 了 进一步 的 发展 . 本文 拟就 建国初期 党 的 宗教政策 的 具体 内涵 、 政策 制定 的 历史 条件 作一 初步 探讨 .",建国初期_中国共产党_宗教政策
"  最近 体育 在线 学术论坛 的 专家 版块 一片 火热 , 主要 原因 归于 几位 体育界 知名 学者 如熊斗寅 、 卢元镇 等 的 拳 与 .",体育界_在线_学术论坛_专家_学者
"文中 的 "" 变态 "" 指 的 是 一种 艺术创作 中 的 "" 颠狂 "" 状态 , 而 非 通常 贬义 上 的 精神 变态 . 这种 "" 变态 "" 是否 有助于 绘画 表现 , 尚待 基因 科学 进一步 研究 证实 , 但 笔者 认为 , "" 变态 "" 在 一定 程度 上 对 艺术创作 产生 了 一定 的 影响 : 它 推动 了 艺术创作 , 有助于 艺术创作 中 情感 的 表现 ; 但是 这种 变态 不是 单纯 的 精神 变异 , 它 在 起 作用 的 同时 , 仍 离不开 理性 的 约束 . 本文 根据 艺术创作 的 特点 , 从 心理学 的 角度 对 这 一 影响 进行 了 阐述 .",变态_颠狂_艺术创作_心理学
"  神经外科 患者 病情 复杂多变 , 观察 处置 不 及时 往往 直接 影响 患者 的 预后 , 护士 必须 具有 高度 的 责任感 、 扎实 的 专科 理论知识 以及 敏锐 的 病情 观察 、 判断 、 应急 、 救治 能力 . 根据 我科 护士 年资 低 、 流动性 较大 等 特点 , 我们 多年 来 在 工作 中 积极 组织 专科 护理 、 教学 查房 , 注重 床旁 交接 查房 , 加快 对 低 年资 护士 的 专科 理论知识 和 技能 方面 培养 , 收到 良好 成效 . 现将 体会 介绍 如下 .",护理_查房_工作
"本文 首先 对 即墨市 的 气候学 特点 和 树种 资源 进行 了 阐述 , 接着 分析 了 即墨市 行道树 的 分布 和 存在 的 问题 , 最后 对 即墨市 行道树 树种 的 选择 提出 了 建议 .",即墨市_行道树_树种_选择
